L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.36,0.43,0.94,1.02,1.73,1.06,0.0,1.15,7.6899999999999995,4.5,0.94,1.28,1.11,0.29,0.87,0.0,0.87,9.86,0
1.36,0.09,0.85,0.51,1.06,0.96,9.47,6.03,20.33,3.23,0.6,1.28,1.36,0.29,0.87,0.0,0.77,8.4,0
1.45,0.85,1.19,2.81,0.96,2.87,11.95,8.13,30.209999999999997,2.72,0.26,0.17,1.7,0.0,0.67,8.61,4.69,18.82,0
0.68,4.17,5.52,5.52,0.39,4.4,13.68,9.56,43.92,3.91,1.62,0.43,4.84,0.0,0.39,10.04,6.12,27.35,0
1.28,6.71,6.8,5.86,0.58,3.64,12.62,6.79,44.28,6.03,4.08,0.77,5.78,0.1,0.87,13.48,8.04,39.15,0
2.64,7.65,8.41,5.86,0.77,3.06,10.43,5.74,44.56,9.09,5.78,2.64,7.31,0.1,2.11,12.91,7.18,47.120000000000005,0
3.57,8.24,9.85,6.29,0.58,2.87,7.08,3.83,42.31,11.21,6.88,4.17,7.82,0.1,5.26,9.37,5.26,50.06999999999999,0
3.32,7.73,11.98,6.97,0.39,3.45,0.77,2.68,37.29,12.15,8.07,5.1,7.65,0.1,4.98,8.42,4.31,50.78,0
3.57,9.09,14.1,8.24,0.48,3.73,0.0,2.59,41.8,14.35,8.92,5.61,7.48,0.1,4.78,8.13,3.64,53.010000000000005,0
3.74,10.28,16.48,9.17,0.29,3.45,0.0,2.3,45.71,13.16,10.87,6.29,6.97,0.2,5.36,8.13,3.26,54.24,0
4.59,11.72,17.83,9.77,0.0,2.68,0.0,1.06,47.65,15.03,13.42,8.16,6.97,0.1,5.93,6.51,2.49,58.61,0
4.84,12.82,20.98,10.45,0.29,2.11,0.0,1.06,52.550000000000004,18.85,17.49,18.34,9.34,0.1,4.4,0.0,0.96,69.48,0
4.08,10.96,23.01,10.79,0.67,1.63,0.0,1.25,52.38999999999999,18.85,11.21,20.72,9.6,0.1,1.53,0.0,0.87,62.88,0
3.91,6.2,21.65,11.21,0.67,1.25,0.0,1.34,46.23,20.72,6.54,13.16,2.55,0.1,0.67,0.0,0.96,44.699999999999996,0
4.17,4.59,13.76,9.0,0.87,1.25,0.0,1.44,35.08,13.16,3.4,3.23,1.19,0.29,0.67,0.0,0.87,22.809999999999995,0
1.02,0.94,5.01,4.17,0.96,1.34,0.0,1.53,14.97,3.74,1.96,2.47,1.28,0.29,0.77,0.0,0.77,11.28,0
0.26,0.34,1.62,1.7,1.06,1.34,0.0,1.63,7.950000000000001,4.08,1.7,1.87,1.28,0.29,0.77,0.0,0.87,10.86,0
0.77,0.43,1.28,1.45,1.44,1.34,0.0,1.53,8.24,4.67,1.45,1.45,1.28,0.29,0.77,0.0,0.87,10.78,0
1.02,0.43,1.02,1.11,1.53,1.34,0.0,1.73,8.18,5.1,1.19,1.36,1.19,0.29,0.87,0.0,0.96,10.96,0
1.02,0.43,0.94,1.19,1.53,1.44,0.0,1.82,8.370000000000001,4.93,1.02,1.28,1.19,0.29,0.87,0.0,0.96,10.54,0
1.02,0.51,0.94,1.19,1.53,1.44,0.0,1.82,8.45,4.93,0.94,1.19,1.19,0.39,0.87,0.0,0.87,10.379999999999999,0
1.02,0.51,0.94,1.19,1.53,1.44,0.0,1.73,8.36,5.1,0.94,1.19,1.19,0.39,0.87,0.0,0.87,10.549999999999997,0
1.19,0.51,0.94,1.11,1.73,1.44,0.0,1.73,8.65,5.1,0.77,1.28,1.19,0.39,0.87,0.0,0.77,10.370000000000001,0
1.11,0.51,1.02,1.11,1.73,1.44,0.0,1.82,8.74,4.93,0.94,1.11,1.19,0.39,0.96,0.0,0.77,10.29,0
1.02,0.51,1.02,1.11,1.53,1.34,11.48,8.32,26.330000000000002,3.4,0.34,0.0,1.45,0.1,0.58,7.75,3.64,17.259999999999998,0
1.11,0.77,0.6,1.36,1.15,2.2,12.62,9.56,29.37,4.67,0.85,0.51,6.12,0.1,0.96,10.14,5.55,28.9,0
1.28,1.02,1.28,3.23,1.15,4.5,17.4,11.29,41.15,7.48,4.08,1.87,7.31,0.0,1.73,13.1,6.79,42.36,0
1.36,0.77,1.45,4.33,0.96,5.17,17.4,11.95,43.39,10.7,6.2,4.0,8.92,0.1,4.5,9.76,5.26,49.44,0
1.45,0.51,1.7,4.84,0.67,5.36,13.87,10.9,39.3,13.16,6.71,4.59,8.58,0.1,4.31,8.23,4.12,49.8,0
1.45,0.43,1.7,4.42,0.87,5.07,11.09,10.14,35.17,13.76,7.22,4.93,7.99,0.1,4.02,7.37,3.16,48.55,0
1.53,0.51,1.7,4.0,1.06,5.07,11.0,10.04,34.910000000000004,14.35,8.92,5.95,7.82,0.1,5.17,6.89,2.49,51.69,0
1.45,0.26,1.36,4.67,1.15,4.88,11.76,9.66,35.190000000000005,12.66,11.21,8.07,7.99,0.1,5.93,6.03,1.92,53.91000000000001,0
1.53,0.68,2.04,5.61,1.25,5.65,12.15,9.18,38.089999999999996,13.16,13.42,15.37,8.75,0.2,5.93,3.26,1.15,61.239999999999995,0
1.53,1.36,4.25,7.99,1.25,7.56,10.9,6.31,41.15,16.39,15.8,20.89,11.38,0.2,4.98,0.0,0.67,70.31,0
1.28,4.93,13.76,10.45,1.06,7.56,1.82,2.01,42.870000000000005,18.0,15.8,23.01,10.53,0.1,1.73,0.0,0.87,70.04,0
0.85,9.34,22.33,12.74,0.58,2.01,0.0,0.0,47.849999999999994,19.7,12.99,20.89,4.25,0.1,0.58,0.0,0.96,59.47,0
1.45,10.45,23.01,12.49,0.87,0.96,0.0,0.2,49.43,17.15,6.88,7.05,1.62,0.2,0.58,0.0,0.87,34.349999999999994,0
2.72,7.82,18.77,8.49,0.96,0.67,0.0,0.39,39.82,7.48,3.83,3.66,1.28,0.29,0.67,0.0,0.87,18.08,0
2.81,4.93,8.07,2.55,1.06,0.77,0.0,0.58,20.77,3.74,1.19,2.64,1.36,0.29,0.77,0.0,0.67,10.66,0
0.17,0.51,2.3,1.36,1.34,0.87,0.0,0.77,7.32,4.5,0.85,2.04,1.45,0.29,0.87,0.0,0.87,10.87,0
0.68,0.26,1.11,1.19,1.53,0.96,0.0,0.58,6.3100000000000005,4.67,0.77,1.7,1.45,0.29,0.87,0.0,0.87,10.62,0
0.94,0.34,0.77,0.94,1.63,0.96,0.0,0.87,6.45,4.93,0.68,1.53,1.45,0.39,0.87,0.0,0.87,10.719999999999999,0
1.11,0.34,0.77,0.85,1.63,0.96,0.0,0.96,6.62,5.1,0.6,1.36,1.45,0.29,0.87,0.0,0.87,10.54,0
1.19,0.43,0.85,0.85,1.73,0.96,0.0,0.96,6.97,5.61,0.51,1.28,1.36,0.29,0.96,0.0,0.87,10.879999999999999,0
1.19,0.43,0.85,0.85,1.73,1.06,0.0,0.96,7.07,5.35,0.51,1.11,1.45,0.29,0.96,0.0,0.87,10.54,0
1.28,0.43,0.94,0.77,1.73,1.06,0.0,0.87,7.08,5.61,0.43,1.19,1.45,0.29,0.96,0.0,0.87,10.8,0
1.11,0.43,1.02,0.77,1.92,1.06,0.0,0.96,7.27,4.5,0.09,0.85,1.53,0.2,0.87,0.2,1.06,9.3,0
