L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
1.19,1.7,1.53,1.28,0.87,0.77,1.53,5.93,14.799999999999999,0.6,1.02,0.77,0.6,0.48,0.67,8.42,4.31,16.87,1
1.19,1.87,1.79,1.36,0.77,0.77,3.45,8.9,20.1,1.11,2.04,4.84,1.45,0.48,0.96,11.76,8.42,31.060000000000002,1
1.02,1.96,2.13,1.62,0.67,0.87,7.18,11.48,26.93,2.38,3.4,9.26,2.3,0.58,1.15,12.62,10.43,42.11999999999999,1
1.11,2.04,2.3,2.04,0.67,0.96,8.9,12.91,30.93,2.98,3.91,11.47,2.98,0.77,1.34,13.68,11.76,48.89,1
1.36,2.04,2.13,2.3,0.67,1.06,11.38,14.82,35.760000000000005,3.32,4.17,12.32,3.49,0.96,1.44,13.39,11.76,50.849999999999994,1
1.28,2.13,1.96,2.21,0.67,0.87,12.62,15.97,37.71,3.49,4.5,13.16,3.83,0.96,1.53,12.91,11.29,51.67,1
1.19,2.3,1.79,2.21,0.67,0.96,13.68,18.36,41.160000000000004,3.66,5.01,14.27,4.08,1.15,1.63,11.76,10.04,51.6,1
1.02,2.55,1.7,2.38,0.77,1.06,13.96,18.36,41.8,3.91,5.35,15.46,4.25,1.25,1.63,10.81,9.09,51.75,1
0.94,2.81,1.87,2.64,0.77,1.25,13.96,18.74,42.980000000000004,4.08,5.61,15.8,4.33,1.34,1.82,11.0,8.8,52.78,1
1.02,3.06,1.96,2.72,0.96,1.25,13.68,17.21,41.86,3.91,5.27,14.86,3.91,1.25,1.92,11.38,8.7,51.2,1
0.94,3.4,2.21,2.72,1.06,1.15,12.82,16.54,40.84,3.91,5.27,14.86,3.91,1.25,1.92,11.38,8.7,51.2,1
0.77,4.76,4.42,2.64,1.06,1.25,11.86,15.3,42.06,3.15,4.33,12.32,3.4,0.67,1.73,4.21,5.26,35.07,1
0.94,6.29,6.88,2.72,0.96,1.25,9.37,12.91,41.32,3.15,4.42,13.16,3.57,0.67,1.34,2.97,3.92,33.2,1
1.02,6.63,6.29,2.38,0.48,0.48,6.22,9.76,33.260000000000005,3.06,4.17,13.16,3.32,0.67,1.06,1.92,2.3,29.66,1
1.02,5.18,2.81,1.87,0.0,0.29,1.53,5.74,18.439999999999998,3.06,3.91,12.06,2.64,0.87,0.96,2.01,1.63,27.14,1
1.11,3.49,1.79,1.45,0.29,0.39,0.67,1.34,10.530000000000001,2.89,3.32,7.05,1.28,1.06,1.06,1.82,1.15,19.63,1
1.28,2.55,1.19,1.02,0.58,0.58,0.48,0.87,8.55,2.89,3.32,7.05,1.28,1.06,1.06,1.82,1.15,19.63,1
1.28,1.62,0.68,0.94,0.77,0.67,0.48,0.77,7.210000000000001,2.13,1.53,0.94,0.77,1.25,1.63,1.82,0.48,10.55,1
1.62,1.45,0.43,0.94,0.96,0.77,0.48,0.77,7.42,0.43,1.53,0.77,0.85,1.15,1.73,1.82,0.58,8.86,1
1.28,0.85,0.94,0.34,0.77,0.58,0.29,0.87,5.92,0.51,1.62,0.94,1.02,1.25,1.73,1.92,0.58,9.57,1
1.19,2.21,2.21,1.19,0.77,0.58,0.58,1.25,9.98,0.6,1.62,0.94,1.02,1.34,1.73,1.92,0.67,9.84,1
1.11,3.06,4.17,1.87,0.77,0.67,0.96,1.82,14.430000000000001,0.6,1.62,0.94,1.11,1.44,1.82,1.92,0.67,10.12,1
1.11,3.4,6.37,2.55,0.67,0.87,1.25,3.45,19.67,0.6,1.62,1.02,1.11,1.44,1.92,2.01,0.67,10.389999999999999,1
1.11,3.83,8.24,2.89,0.67,0.96,1.82,5.74,25.26,0.68,1.45,0.77,0.85,0.96,1.63,1.73,0.67,8.74,1
1.11,4.42,9.85,3.4,0.67,1.06,2.39,7.08,29.980000000000004,0.51,1.45,0.68,0.43,0.67,1.06,4.5,3.35,12.65,1
1.11,5.27,10.79,3.91,0.77,1.15,2.59,7.46,33.05,0.6,2.04,2.21,0.94,0.58,1.15,8.61,5.55,21.68,1
1.28,5.52,11.3,4.5,0.87,1.34,2.78,7.84,35.43,1.62,2.3,5.52,1.53,0.48,1.34,12.24,10.62,35.65,1
1.36,5.78,11.64,4.67,0.96,1.34,3.73,8.23,37.71000000000001,2.55,2.89,8.16,2.55,0.67,1.63,13.87,13.39,45.709999999999994,1
1.45,5.86,11.64,5.1,0.96,1.44,6.51,9.37,42.33,2.98,3.06,9.17,3.66,0.87,1.92,15.11,15.49,52.260000000000005,1
1.45,5.86,11.64,5.1,0.96,1.44,6.51,9.37,42.33,3.23,3.49,8.58,3.91,0.87,1.92,14.82,15.21,52.03,1
1.53,5.69,11.81,5.18,1.06,1.53,7.65,10.33,44.78,3.49,4.25,9.17,3.91,1.06,1.92,14.44,13.77,52.010000000000005,1
1.62,5.61,11.64,5.35,1.15,1.63,8.23,11.29,46.52,3.66,4.76,9.68,3.91,1.25,1.73,12.43,10.9,48.31999999999999,1
1.36,7.9,13.5,6.12,1.15,1.73,4.98,9.47,46.21000000000001,3.66,4.33,9.6,3.57,0.77,1.53,9.66,8.32,41.44,1
1.36,10.02,13.93,6.54,0.87,1.82,2.3,7.46,44.3,3.4,4.17,7.56,2.64,0.67,1.44,6.79,5.93,32.599999999999994,1
1.53,11.47,14.35,6.8,0.67,1.73,1.53,4.88,42.96,3.15,4.0,5.52,2.21,0.67,1.34,4.98,5.36,27.229999999999997,1
1.7,12.57,13.93,6.37,0.39,0.77,0.77,2.01,38.51,2.89,3.66,4.25,2.04,0.67,1.44,5.26,5.26,25.47,1
1.19,5.1,6.2,1.28,0.77,0.67,0.48,0.87,16.56,2.64,3.15,3.57,1.96,0.67,1.63,5.17,5.07,23.86,1
1.19,5.1,6.2,1.28,0.77,0.67,0.48,0.87,16.56,2.47,2.81,3.23,1.96,0.67,1.63,4.59,4.5,21.86,1
1.02,2.04,1.53,0.77,1.06,0.67,0.48,0.58,8.149999999999999,2.38,2.81,2.98,1.87,0.87,1.53,4.5,4.4,21.34,1
1.02,1.62,0.94,0.77,1.15,0.77,0.58,0.67,7.52,2.38,2.72,2.81,1.87,0.96,1.53,4.78,4.4,21.45,1
1.28,1.87,0.51,0.85,1.15,0.77,0.58,0.67,7.68,2.04,2.64,2.64,1.79,0.96,1.53,4.59,4.12,20.310000000000002,1
1.45,1.96,0.43,0.85,1.25,0.87,0.58,0.77,8.16,1.53,2.47,2.04,1.62,0.87,1.53,3.92,3.54,17.52,1
1.53,1.96,0.43,0.85,1.34,0.87,0.58,0.67,8.23,1.19,2.3,1.62,1.53,0.96,1.73,3.73,3.16,16.22,1
1.62,2.13,0.34,0.94,1.34,0.87,0.58,0.58,8.4,1.11,2.13,1.36,1.36,1.06,1.53,3.92,3.35,15.82,1
1.7,1.7,0.34,0.94,1.25,0.96,0.39,0.96,8.24,1.02,2.13,1.19,1.53,1.25,1.63,3.83,3.16,15.74,1
