L1,L2,L3,L4,L5,L6,L7,L8,L_sum,R1,R2,R3,R4,R5,R6,R7,R8,R_sum,label
2.98,8.58,16.48,8.07,1.92,2.49,0.0,2.3,42.82,2.13,5.69,3.32,1.19,0.29,0.96,0.0,1.73,15.31,1
2.98,8.33,16.48,7.99,1.92,2.49,0.0,2.39,42.58,2.47,3.49,1.79,1.36,0.39,1.06,0.0,1.53,12.090000000000002,1
3.06,8.41,16.48,8.07,1.92,2.59,0.0,2.39,42.92,2.72,2.64,1.19,1.45,0.29,1.06,0.0,1.63,10.98,1
3.06,8.41,16.48,8.33,1.92,2.59,0.0,2.39,43.18,2.89,2.3,0.94,1.53,0.39,1.06,0.0,1.53,10.64,1
3.15,8.58,16.48,8.49,1.92,2.59,0.0,2.39,43.6,2.81,2.13,0.77,1.45,0.39,1.15,0.0,1.53,10.23,1
3.23,8.75,17.32,8.66,2.01,2.49,0.0,2.39,44.85,2.89,2.13,0.77,1.53,0.48,1.15,0.0,1.53,10.48,1
3.23,8.75,17.32,8.66,1.92,2.59,0.0,2.39,44.86,2.98,1.96,0.68,1.45,0.48,1.15,0.0,1.63,10.329999999999998,1
3.32,9.0,17.83,8.58,1.92,2.59,0.0,2.3,45.54,2.89,1.53,0.94,1.36,0.2,1.06,4.4,2.39,14.77,1
3.23,8.92,17.32,8.83,1.92,2.59,0.0,2.39,45.199999999999996,2.89,4.08,3.91,2.04,0.2,0.77,12.62,8.04,34.55,1
3.32,9.09,18.26,8.66,1.92,2.49,0.0,2.3,46.04,2.89,4.67,4.42,2.38,0.2,0.87,14.54,8.99,38.96,1
3.32,9.26,17.83,8.49,1.92,2.49,0.0,2.3,45.61,2.98,5.44,4.5,2.72,0.2,1.06,14.92,9.47,41.290000000000006,1
3.32,9.09,16.9,7.99,1.92,2.49,0.0,2.3,44.01,2.98,6.54,5.1,3.06,0.29,1.25,15.97,9.76,44.95,1
3.32,9.0,17.32,7.48,1.92,2.39,0.0,2.39,43.82000000000001,2.89,7.82,5.61,3.57,0.48,1.63,16.45,9.95,48.4,1
3.23,8.92,16.9,6.54,1.92,2.3,0.0,2.3,42.11,2.89,10.02,7.31,4.33,0.87,4.69,14.92,9.47,54.5,1
3.15,8.58,15.71,5.18,1.92,2.3,0.0,2.3,39.14,2.89,11.13,8.92,4.84,1.15,5.45,13.48,8.8,56.660000000000004,1
2.98,7.48,13.25,3.32,1.92,2.2,0.0,2.2,33.35,2.89,11.98,10.96,5.18,1.44,5.74,12.72,7.94,58.85,1
3.06,6.71,7.48,1.87,1.73,2.11,0.0,2.3,25.26,2.89,12.49,14.61,5.44,1.44,5.55,11.38,7.17,60.97,1
3.06,6.63,7.05,1.96,1.73,2.2,0.0,2.39,25.02,2.98,13.08,16.56,5.35,1.34,5.26,9.56,6.22,60.35,1
2.89,5.86,5.27,1.7,1.82,2.11,0.0,2.39,22.04,3.06,14.44,17.07,5.18,1.06,4.88,6.41,5.07,57.17,1
2.81,5.61,4.76,1.62,1.73,2.11,0.0,2.39,21.03,2.98,18.51,24.71,3.4,0.2,1.82,0.0,2.39,54.010000000000005,1
2.98,5.78,4.93,1.7,1.92,2.2,0.0,2.39,21.9,3.15,13.76,18.0,1.53,0.2,1.15,0.0,1.92,39.709999999999994,1
2.98,5.95,5.1,1.7,1.92,2.2,0.0,2.39,22.240000000000002,1.28,9.09,5.27,1.11,0.29,1.06,0.0,1.82,19.92,1
3.06,5.95,5.52,1.79,2.01,2.2,0.0,2.49,23.02,1.62,6.12,2.47,1.19,0.29,0.96,0.0,1.73,14.38,1
3.06,6.46,6.2,1.87,2.01,2.3,0.0,2.49,24.39,2.13,4.0,1.11,1.36,0.39,1.06,0.0,1.63,11.68,1
3.06,6.97,7.05,2.13,2.11,2.2,0.0,2.49,26.01,2.47,2.3,0.51,1.53,0.39,1.06,0.0,1.53,9.79,1
3.06,7.39,7.9,2.64,2.11,2.39,0.0,2.49,27.980000000000004,2.47,2.13,0.34,1.62,0.39,1.15,0.0,1.63,9.73,1
3.06,7.48,9.34,2.98,2.11,2.3,0.0,2.39,29.66,2.64,2.04,0.43,1.62,0.39,1.15,0.0,1.63,9.9,1
3.15,7.73,11.55,3.74,2.11,2.39,0.0,2.49,33.160000000000004,2.55,2.13,0.43,1.62,0.39,1.15,0.0,1.63,9.9,1
3.06,8.24,14.35,4.84,2.11,2.3,0.0,2.49,37.39,2.55,2.21,0.51,1.7,0.39,1.15,0.0,1.63,10.14,1
2.72,9.26,17.32,7.05,2.01,2.3,0.0,2.49,43.15,2.72,1.45,1.45,1.19,0.2,1.06,5.74,2.97,16.78,1
2.72,10.19,18.77,8.49,1.82,2.01,0.0,2.49,46.49,2.72,1.45,1.45,1.19,0.2,1.06,5.74,2.97,16.78,1
2.72,7.65,13.25,3.32,1.53,2.11,0.0,2.39,32.97,2.81,4.59,5.01,2.13,0.2,0.77,12.91,8.13,36.55,1
1.79,6.63,4.25,0.77,1.63,2.11,0.0,2.39,19.57,2.81,5.1,5.27,2.38,0.2,0.96,14.25,9.47,40.44,1
1.87,0.77,0.77,0.85,1.34,2.3,0.0,2.39,10.29,2.81,8.24,5.52,2.81,0.2,1.25,15.68,10.14,46.650000000000006,1
2.04,0.34,0.6,0.94,1.44,2.3,0.0,2.59,10.25,2.81,8.24,5.52,2.81,0.2,1.25,15.68,10.14,46.650000000000006,1
2.13,0.26,0.34,0.85,1.44,2.39,0.0,1.73,9.14,2.89,10.02,6.8,3.91,0.67,2.39,15.21,9.85,51.74,1
2.21,0.26,0.34,0.94,1.44,2.11,0.39,1.73,9.42,2.72,10.28,8.33,4.42,1.15,5.45,14.06,9.47,55.88,1
2.04,2.38,10.02,4.08,1.73,2.97,7.27,5.74,36.230000000000004,2.89,10.45,12.49,5.18,1.34,6.22,12.91,8.7,60.18,1
2.3,4.17,15.71,7.48,1.73,4.31,7.37,6.6,49.67,2.89,10.45,16.14,5.78,1.44,6.51,11.29,7.94,62.440000000000005,1
2.38,7.05,18.26,9.68,1.82,5.55,8.51,7.46,60.71000000000001,2.89,11.38,17.49,6.12,1.44,6.7,9.76,7.17,62.95,1
2.55,7.56,18.77,10.79,2.3,6.03,8.9,7.94,64.84,3.57,14.44,20.89,6.46,1.06,5.36,4.02,4.69,60.49,1
2.38,7.73,19.28,10.79,2.39,5.74,7.08,6.98,62.370000000000005,3.83,18.0,25.56,6.29,0.39,4.69,0.0,3.45,62.209999999999994,1
2.38,8.16,19.28,10.45,1.82,4.69,1.73,5.26,53.769999999999996,3.66,19.7,27.6,5.52,0.2,3.35,0.0,2.2,62.230000000000004,1
2.3,8.16,19.28,9.68,1.44,3.64,0.0,3.54,48.040000000000006,3.66,19.7,27.6,5.52,0.2,3.35,0.0,2.2,62.230000000000004,1
2.3,7.65,16.9,7.82,1.73,3.16,0.0,3.45,43.010000000000005,3.74,16.98,26.58,2.81,0.2,1.63,0.0,1.82,53.76,1
2.38,7.65,16.48,7.65,2.01,3.26,0.0,3.73,43.160000000000004,1.19,9.43,9.6,0.94,0.29,0.96,0.0,1.63,24.039999999999996,1
1.79,8.75,18.26,8.49,1.44,2.49,0.0,1.92,43.14,1.36,6.46,4.84,1.02,0.39,0.96,0.0,1.53,16.56,1
2.21,10.53,17.83,6.88,1.53,1.73,0.0,1.73,42.44,1.87,3.15,2.13,1.28,0.39,1.06,0.0,1.53,11.41,1
1.62,2.72,2.55,0.94,1.25,1.44,0.0,1.92,12.44,2.38,2.38,1.02,1.45,0.39,1.06,0.0,1.44,10.12,1
1.79,1.02,1.36,1.11,0.77,1.34,0.0,0.58,7.970000000000001,2.55,2.13,0.68,1.45,0.39,1.15,0.0,1.44,9.79,1
